wbid,R1 rpm,R2 rpm,R3 rpm
WBGene00007181,0.11642694552627715,0.6468458019869162,0.3303493973435944
WBGene00007182,1.3971233463153259,0.6468458019869162,15.36124697647714
WBGene00007183,0.0,0.0,0.1651746986717972
WBGene00007184,50.29644046735173,31.803251931023382,44.43199394271345
WBGene00007185,5.70492033078758,3.449844277263553,5.285590357497511
WBGene00007186,48.20075544787874,26.412870247799077,32.20906624100046
WBGene00007187,10.24557120631239,8.73241832682337,10.406006016323223
WBGene00007188,15.95049153709997,13.152531307067296,10.901530112338616
WBGene00007189,29.223163327095566,15.955529782343934,24.445855403425988
WBGene00007190,0.4657077821051086,2.695190841612151,0.8258734933589861
WBGene00007191,0.0,0.3234229009934581,0.3303493973435944
WBGene00007192,14.436941245258367,9.918302297132715,13.048801195071979
WBGene00007193,20.84042324920361,13.907184742718698,13.874674688430966
WBGene00007194,48.782890175510126,29.754906891398146,37.16430720115437
WBGene00007195,21.888265758940104,15.524299247685988,25.271728896784975
WBGene00007196,14.786222081837199,10.672955732784118,13.379150592415574
WBGene00007197,0.9314155642102172,1.4014992376383184,1.9820963840615666
WBGene00007198,0.34928083657883147,0.7546534356514023,0.6606987946871888
WBGene00007199,0.11642694552627715,0.5390381683224301,1.3213975893743777
WBGene00007200,0.11642694552627715,0.0,0.1651746986717972
WBGene00007201,4.889931712103641,2.263960306954207,3.138319274764147
WBGene00007202,8.149886186839401,4.959151148566358,7.432861440230875
WBGene00007203,0.5821347276313857,0.43123053465794414,0.3303493973435944
WBGene00007204,0.11642694552627715,0.10780763366448604,0.0
WBGene00007206,0.11642694552627715,0.0,0.0
WBGene00007207,33.53096031156782,20.37564276258786,30.72249395295428
WBGene00007208,0.11642694552627715,0.0,0.0
WBGene00007209,0.6985616731576629,0.6468458019869161,0.0
WBGene00007210,0.0,0.10780763366448604,0.1651746986717972
WBGene00007211,0.2328538910525543,0.0,0.4955240960153916
WBGene00007212,0.11642694552627715,0.3234229009934581,0.8258734933589861
WBGene00007213,5.355639494208749,3.342036643599067,1.3213975893743777
WBGene00007214,0.0,0.10780763366448604,0.1651746986717972
WBGene00007215,17.23118793788902,6.899688554527106,8.25873493358986
WBGene00007216,2.6778197471043743,1.7249221386317766,1.8169216853897692
WBGene00007217,11.991975389206548,8.085572524836453,10.736355413666818
WBGene00007218,1.8628311284204344,2.1561526732897205,2.312445781405161
WBGene00007219,0.11642694552627715,0.21561526732897207,0.1651746986717972
WBGene00007220,1.1642694552627715,1.5093068713028046,0.1651746986717972
WBGene00007221,11.40984066157516,7.33091908918505,12.883626496400183
WBGene00007222,0.8149886186839401,1.2936916039738322,0.8258734933589861
WBGene00007223,5.239212548682472,4.204497712914955,6.276638549528294
WBGene00007224,0.0,0.0,0.4955240960153916
WBGene00007225,15.834064591573693,7.977764891171966,11.23187950968221
WBGene00007226,7.684178404734292,4.312305346579442,6.606987946871889
WBGene00007227,42.030127334986055,26.844100782457023,37.32948189982617
WBGene00007228,0.5821347276313857,0.9702687029803743,0.9910481920307832
WBGene00007229,0.4657077821051086,0.10780763366448604,0.0
WBGene00007230,1.3971233463153259,2.910806108941123,1.3213975893743777
WBGene00007231,0.0,0.0,0.0
WBGene00007232,0.0,0.0,0.0
WBGene00007233,0.34928083657883147,0.0,0.0
WBGene00007234,7.102043677102905,5.17476641589533,7.598036138902671
WBGene00007235,31.551702237621107,19.189758792278514,26.59312648615935
WBGene00007236,2.4449658560518204,2.263960306954207,2.477620480076958
WBGene00007237,3.609235311314592,2.1561526732897205,8.093560234918064
WBGene00007238,2.5613928015780973,0.21561526732897207,0.1651746986717972
