geneID,median_adult Ce,mean_adult Ce
WBGene00000289,38.1487,34.8116
WBGene00000292,83.2903,79.2256
WBGene00000293,98.6558,102.283
WBGene00000294,47.225,45.5902
WBGene00000295,0.464836,1.42283
WBGene00000296,0.398434,0.547582
WBGene00000298,60.0175,59.2196
WBGene00000301,110.061,255.169
WBGene00000302,2.68971,3.54044
WBGene00000308,1.00E-10,3.36834
WBGene00000310,1.00E-10,1.00E-10
WBGene00000311,1.00E-10,1.00E-10
WBGene00000366,40.737,41.1217
WBGene00000367,1.75456,1.83423
WBGene00000368,4.29916,4.87582
WBGene00000369,100.039,95.5651
WBGene00000370,80.6962,114.359
WBGene00000371,617.253,606.417
WBGene00000372,0.1647,0.274554
WBGene00000373,6.63887,7.00577
WBGene00000374,9.3051,8.39523
WBGene00000375,20.1241,21.271
WBGene00000376,165.511,145.157
WBGene00000377,199.435,199.878
WBGene00000378,183.516,175.923
WBGene00000379,188.258,193.152
WBGene00000380,323.588,314.048
WBGene00000381,179.852,179.085
WBGene00000382,40.277,44.9595
WBGene00000383,78.2895,90.8218
WBGene00000386,104.454,96.3795
WBGene00000387,34.9115,34.3904
WBGene00000388,35.7006,33.8686
WBGene00000389,0.254977,5.20465
WBGene00000390,163.269,177.356
WBGene00000391,9.05725,14.4696
WBGene00000392,60.9386,66.4036
WBGene00000393,13.0516,13.1875
WBGene00000395,0.930075,1.24447
WBGene00000396,11.9346,15.3883
WBGene00000397,0.583772,1.07507
WBGene00000399,0.217327,0.390324
WBGene00000401,0.880762,1.32476
WBGene00000402,0.268044,0.426054
WBGene00000403,21.1168,25.1857
WBGene00000405,145.968,199.164
WBGene00000406,10.3669,9.39693
WBGene00000407,48.9233,49.9923
WBGene00000408,52.0701,54.0299
WBGene00000409,42.5391,40.42
WBGene00000410,28.2163,28.1638
WBGene00000411,145.94,169.296
WBGene00000412,1.40181,2.45599
WBGene00000413,25.0956,25.1382
WBGene00000414,22.607,27.8177
WBGene00000415,29.5248,30.9477
WBGene00000416,74.0388,73.718
WBGene00000417,101.195,90.0749
WBGene00000418,22.8272,22.0113
WBGene00000419,18.7407,20.6085
WBGene00000420,31.5298,31.1406
WBGene00000421,29.0721,35.0964
WBGene00000422,3.67438,3.66047
WBGene00000423,70.6063,64.6109
WBGene00000424,38.4008,37.5339
WBGene00000425,1.65356,2.26427
WBGene00000426,27.6503,33.7569
WBGene00000427,1.00E-10,0.179576
WBGene00000428,0.627552,0.610025
WBGene00000429,0.379409,0.550457
WBGene00000430,2.05339,4.27632
WBGene00000431,0.673117,1.19957
WBGene00000432,1.00E-10,0.898257
WBGene00000433,0.234644,0.535969
WBGene00000434,0.320388,0.470733
WBGene00000435,0.657492,1.43456
WBGene00000436,0.15384,0.317699
WBGene00000437,5.12464,6.4225
WBGene00000438,1.10265,1.91935
WBGene00000439,1.05765,2.92832
WBGene00000440,0.151284,0.289203
WBGene00000441,3.98729,4.60247
WBGene00000442,2.57581,2.98774
WBGene00000443,16.1646,17.1076
WBGene00000444,9.10797,8.85967
WBGene00000445,0.544499,1.11356
WBGene00000446,0.201769,0.256912
WBGene00000447,0.398187,0.466414
WBGene00000448,1.26037,2.33594
WBGene00000449,1.33169,3.75325
WBGene00000450,1.00E-10,0.036165
WBGene00000451,0.71325,1.13226
WBGene00000452,0.416382,0.593155
WBGene00000453,4.26627,11.4764
WBGene00000454,0.328081,0.461743
WBGene00000455,1.84219,2.67102
WBGene00000457,0.551243,1.79779
WBGene00000458,5.54943,6.08165
WBGene00000459,51.8471,47.4532
WBGene00000460,19.4594,18.6957
WBGene00000461,6.98509,7.16493
WBGene00000462,7.29573,7.32832
WBGene00000463,6.78116,18.8762
WBGene00000464,40.4164,38.3285
WBGene00000465,1315.84,1251.51
WBGene00000466,29.92,32.9023
WBGene00000467,35.9946,39.3571
WBGene00000468,0.204249,0.606614
WBGene00000469,1.83639,7.80355
WBGene00000472,398.598,414.35
WBGene00000473,1422.84,1452.61
WBGene00000474,594.742,630.355
WBGene00000475,613.333,680.419
WBGene00000476,1.50688,2.33392
WBGene00000477,0.607999,0.698726
WBGene00000478,1.73348,5.57988
WBGene00000479,838.983,749.406
WBGene00000480,63.5277,67.2448
WBGene00000481,0.689651,0.946296
WBGene00000482,9.55631,12.6526
