Gene,Start
WBGene00015472,2
WBGene00006787,2
WBGene00016075,2
WBGene00006692,2
WBGene00006694,2
WBGene00015984,2
WBGene00006696,2
WBGene00015962,2
WBGene00006710,2
WBGene00015914,2
WBGene00006745,2
WBGene00015815,2
WBGene00015735,2
WBGene00006755,2
WBGene00015648,2
WBGene00006770,2
WBGene00006780,2
WBGene00015517,2
WBGene00006785,2
WBGene00013768,2
WBGene00007333,2
WBGene00013019,2
WBGene00008003,2
WBGene00007894,2
WBGene00013246,2
WBGene00013242,2
WBGene00007921,2
WBGene00013212,2
WBGene00007952,2
WBGene00013189,2
WBGene00013167,2
WBGene00013156,2
WBGene00013699,2
WBGene00013151,2
WBGene00013132,2
WBGene00013106,2
WBGene00013096,2
WBGene00008094,2
WBGene00013079,2
WBGene00013073,2
WBGene00008156,2
WBGene00013272,2
WBGene00013300,2
WBGene00013355,2
WBGene00013361,2
WBGene00013682,2
WBGene00013679,2
WBGene00013666,2
WBGene00013655,2
WBGene00007452,2
WBGene00013639,2
WBGene00013623,2
WBGene00013599,2
WBGene00013593,2
WBGene00007505,2
WBGene00013554,2
WBGene00013545,2
WBGene00013486,2
WBGene00013464,2
WBGene00013446,2
WBGene00013441,2
WBGene00007698,2
WBGene00013765,2
WBGene00010316,2
WBGene00022192,2
WBGene00003600,2
WBGene00021728,2
WBGene00020770,2
WBGene00002189,2
WBGene00001320,2
WBGene00021701,2
WBGene00022741,2
WBGene00022743,2
WBGene00021686,2
WBGene00185089,2
WBGene00020796,2
WBGene00021683,2
WBGene00185078,2
WBGene00020832,2
WBGene00020835,2
WBGene00185055,2
WBGene00000776,2
WBGene00086567,2
WBGene00086560,2
WBGene00020857,2
WBGene00021640,2
WBGene00022769,2
WBGene00002218,2
WBGene00021635,2
WBGene00020702,2
WBGene00022678,2
WBGene00020698,2
WBGene00000528,2
WBGene00000440,2
WBGene00022390,2
WBGene00003561,2
WBGene00020436,2
WBGene00000485,2
WBGene00022427,2
WBGene00020542,2
WBGene00003476,2
WBGene00000509,2
WBGene00022447,2
WBGene00021788,2
WBGene00021733,2
WBGene00001488,2
WBGene00001485,2
WBGene00001470,2
WBGene00020575,2
WBGene00020634,2
WBGene00044401,2
WBGene00000565,2
WBGene00003414,2
WBGene00001377,2
WBGene00021736,2
WBGene00021628,2
WBGene00022801,2
WBGene00020867,2
WBGene00001110,2
WBGene00001589,2
WBGene00003129,2
WBGene00002278,2
WBGene00044065,2
WBGene00021157,2
WBGene00044121,2
WBGene00021175,2
WBGene00003106,2
WBGene00000955,2
WBGene00021464,2
WBGene00003084,2
WBGene00001161,2
WBGene00000962,2
WBGene00002694,2
WBGene00021261,2
WBGene00002889,2
WBGene00021288,2
WBGene00000998,2
WBGene00003015,2
WBGene00044235,2
WBGene00002976,2
WBGene00044358,2
WBGene00003130,2
WBGene00003144,2
WBGene00022858,2
WBGene00021530,2
WBGene00020897,2
WBGene00002229,2
WBGene00003373,2
WBGene00050892,2
WBGene00001215,2
WBGene00023419,2
WBGene00021562,2
WBGene00000878,2
WBGene00020954,2
WBGene00000897,2
WBGene00021528,2
WBGene00021040,2
WBGene00045289,2
WBGene00003174,2
WBGene00021513,2
WBGene00043062,2
WBGene00003166,2
WBGene00003161,2
WBGene00044989,2
WBGene00003153,2
WBGene00002263,2
WBGene00021022,2
WBGene00020403,2
WBGene00002175,2
WBGene00000158,2
WBGene00003734,2
WBGene00001678,2
WBGene00001561,2
WBGene00000100,2
WBGene00022306,2
WBGene00000146,2
WBGene00022035,2
WBGene00022310,2
WBGene00003799,2
WBGene00020082,2
WBGene00022021,2
WBGene00000171,2
WBGene00020128,2
WBGene00001555,2
WBGene00001816,2
WBGene00000233,2
WBGene00021968,2
WBGene00003774,2
WBGene00020171,2
WBGene00001818,2
WBGene00021943,2
WBGene00022352,2
WBGene00001673,2
WBGene00022110,2
WBGene00000062,2
WBGene00000035,2
WBGene00019862,2
WBGene00302978,2
WBGene00302971,2
WBGene00019911,2
WBGene00019914,2
WBGene00271414,2
WBGene00022176,2
WBGene00001607,2
WBGene00019953,2
WBGene00019955,2
WBGene00022138,2
WBGene00019957,2
WBGene00019959,2
WBGene00022173,2
WBGene00001612,2
WBGene00022167,2
WBGene00022142,2
WBGene00022139,2
WBGene00003879,2
WBGene00019973,2
WBGene00206508,2
WBGene00002979,2
WBGene00022371,2
WBGene00002005,2
WBGene00001980,2
WBGene00000395,2
WBGene00201349,2
WBGene00206493,2
WBGene00020183,2
WBGene00022378,2
WBGene00001541,2
WBGene00001535,2
WBGene00021905,2
WBGene00001505,1
WBGene00001148,1
WBGene00001578,1
WBGene00008372,1
WBGene00008381,1
WBGene00001131,1
WBGene00007985,1
WBGene00007556,1
WBGene00008120,1
WBGene00007910,1
WBGene00008395,1
WBGene00001162,1
WBGene00001574,1
WBGene00007877,1
WBGene00007853,1
WBGene00008367,1
WBGene00007816,1
WBGene00007560,1
WBGene00007583,1
WBGene00001537,1
WBGene00007811,1
WBGene00007810,1
WBGene00007964,1
WBGene00007913,1
WBGene00007955,1
WBGene00008432,1
WBGene00007941,1
WBGene00001527,1
WBGene00001023,1
WBGene00001027,1
WBGene00001077,1
WBGene00001587,1
WBGene00001078,1
WBGene00001534,1
WBGene00001079,1
WBGene00001080,1
WBGene00001581,1
WBGene00007948,1
WBGene00008430,1
WBGene00001514,1
WBGene00007545,1
WBGene00008417,1
WBGene00001520,1
WBGene00008407,1
WBGene00008405,1
WBGene00001081,1
WBGene00001579,1
WBGene00001082,1
WBGene00001101,1
WBGene00008401,1
WBGene00007954,1
WBGene00007592,1
WBGene00008361,1
WBGene00001465,1
WBGene00001165,1
WBGene00007728,1
WBGene00007645,1
WBGene00007655,1
WBGene00008178,1
WBGene00001246,1
WBGene00007757,1
WBGene00008175,1
WBGene00008061,1
WBGene00007683,1
WBGene00008171,1
WBGene00008165,1
WBGene00007750,1
WBGene00007697,1
WBGene00001362,1
WBGene00008180,1
WBGene00008065,1
WBGene00001545,1
WBGene00007703,1
WBGene00001544,1
WBGene00007711,1
WBGene00007712,1
WBGene00001345,1
WBGene00001335,1
WBGene00008096,1
WBGene00008150,1
WBGene00001324,1
WBGene00001328,1
WBGene00007771,1
WBGene00001243,1
WBGene00001568,1
WBGene00008042,1
WBGene00007722,1
WBGene00007602,1
WBGene00001457,1
WBGene00001560,1
WBGene00008339,1
WBGene00001179,1
WBGene00007621,1
WBGene00008321,1
WBGene00001194,1
WBGene00001207,1
WBGene00007628,1
WBGene00001559,1
WBGene00007636,1
WBGene00007799,1
WBGene00001404,1
WBGene00008277,1
WBGene00001223,1
WBGene00007639,1
WBGene00001225,1
WBGene00008246,1
WBGene00008226,1
WBGene00008184,1
WBGene00001236,1
WBGene00007935,1
WBGene00001399,1
WBGene00008183,1
WBGene00007923,1
WBGene00003917,1
WBGene00001016,1
WBGene00008472,1
WBGene00000410,1
WBGene00009660,1
WBGene00009702,1
WBGene00009706,1
WBGene00009708,1
WBGene00009711,1
WBGene00009724,1
WBGene00009730,1
WBGene00009731,1
WBGene00009753,1
WBGene00000294,1
WBGene00009790,1
WBGene00009808,1
WBGene00009811,1
WBGene00009831,1
WBGene00009833,1
WBGene00009848,1
WBGene00000289,1
WBGene00000268,1
WBGene00009889,1
WBGene00009907,1
WBGene00000415,1
WBGene00000419,1
WBGene00009647,1
WBGene00009546,1
WBGene00009424,1
