wbid,rep 0,rep 1,rep 2
WBGene00010337,4.9620617827673605,4.699309484176996,4.2433976403643
WBGene00010550,5.867875639354716,4.960195678053528,4.980817352256877
WBGene00008880,2.292294626509894,2.2861121908190793,2.399848360632859
WBGene00001562,5.152759436785751,3.797078063687323,3.5162198689146758
WBGene00003218,3.198108483097249,4.471034064535031,3.5059779284717245
WBGene00021420,7.345782457997242,6.297237421670751,4.059042712391156
WBGene00010199,25.509734003248937,23.84183395986749,19.975018160739268
WBGene00002019,3.2457828966018463,5.808075808152254,3.7210586777737253
WBGene00004856,4.008573512675408,4.047093999485667,4.6735591389683036
WBGene00003124,2.8643875885650654,2.4817768362264783,1.9082352193711412
WBGene00020486,4.437643234216786,3.0687707724486737,3.075816429867721
WBGene00010845,2.387643453519089,2.6122199331647438,1.4166220781094236
WBGene00010215,1.6248528374455269,2.416555287757345,1.7853319340557119
WBGene00021468,4.2946199937029945,3.786207805609135,4.581381674981731
WBGene00044069,2.3399690400144912,2.5143876104610445,1.9082352193711412
WBGene00010480,1.1481087023995507,2.416555287757345,1.6009770060825677
WBGene00000041,1.6248528374455269,2.2208906423499464,1.6163399167469965
WBGene00006839,3.055085242583456,3.036159998214107,3.444526285814009
WBGene00001878,9.395782238694942,7.30817142294231,4.581381674981731
WBGene00006385,3.9608990991708106,4.177537096423932,2.6763807525925754
WBGene00006379,12.860122953362385,9.036542457374331,7.74614127185404
WBGene00020391,2.1969457995006985,2.8078845785721422,2.399848360632859
WBGene00009691,9.443456652199538,9.427871748189128,7.74614127185404
WBGene00012268,9.014386930658159,6.590734389781849,5.011543173585735
WBGene00017423,17.738804601999522,14.05860168949756,12.385740292511501
WBGene00004460,2.387643453519089,2.2861121908190793,2.0925901473442856
WBGene00001881,4.103922339684604,4.047093999485667,2.399848360632859
WBGene00002010,1.338806356417941,2.2861121908190793,1.4166220781094236
WBGene00002264,2.3638062467667904,2.0904475454116804,2.0004126833577134
WBGene00011300,3.436480550620237,4.0144832252511,2.522751645948289
WBGene00008422,2.387643453519089,2.220890642349947,1.10936386482085
WBGene00012435,2.0380310878187036,2.003485480786172,2.0721062664583827
WBGene00021328,2.57834110753748,2.025225996942548,2.0925901473442856
WBGene00001905,2.1969457995006985,2.2861121908190793,1.7853319340557119
WBGene00195210,5.009736196271959,3.5905431602017366,3.045090608538864
WBGene00008390,4.914387369262763,2.318722965053646,2.7685582165791476
WBGene00001882,4.866712955758166,4.536255613004164,2.7071065739214326
WBGene00019691,5.057410609776556,5.025417226522659,3.6288812137871536
WBGene00003804,3.4841549641248344,3.264435417856072,2.4305741819617164
WBGene00007882,8.60915441586908,6.443985905726299,5.441704672189737
WBGene00012512,2.864387588565066,2.9383276755104077,2.8300098592368625
WBGene00002020,3.6271782046386276,5.579800388510289,3.690332856444868
WBGene00007666,4.151596753189201,3.9166509025474006,3.32162300049858
WBGene00000105,3.8655502721616157,4.096010160837517,3.9668652484045848
WBGene00004152,2.3399690400144912,3.133992320917806,1.969686862028856
WBGene00021486,2.792875968308169,3.3622677405597714,2.4613000032905736
WBGene00001145,10.587642576309882,10.047476458645889,9.405335623612336
WBGene00003962,2.8167131750604675,2.7752738043375755,2.8300098592368625
WBGene00018987,8.251596314584598,6.166794324732485,5.2880755655454506
WBGene00001903,2.76903876155587,3.394878514794338,1.723880291397997
WBGene00012476,37.76205827393053,27.918180739188294,27.164860351691893
WBGene00019317,5.534154744822532,4.438423290300465,5.964043634780312
WBGene00009532,3.0074108290788586,3.297046192090639,2.8300098592368625
WBGene00020334,10.158572854768504,7.438614519880575,6.947269917303748
WBGene00012813,3.7702014451524204,2.6557009654774975,2.0362594749080447
WBGene00016566,2.1969457995006985,2.025225996942548,1.3551704354517087
WBGene00022389,10.079115498927537,8.732175231185055,7.70517351008221
WBGene00000101,4.580666474730579,4.242758644893065,2.891461501894577
WBGene00016620,18.3108975640547,13.765104721386463,12.109207900551784
WBGene00194913,25.605082830258134,16.276134337448077,13.737676430981224
WBGene00001169,4.9620617827673605,5.547189614275722,4.919365709599162
